company,grossProfit,incomeBeforeTax,incomeTaxExpense,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,sellingGeneralAdministrative,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,accountsPayable,cash,commonStock,netTangibleAssets,otherCurrentAssets,otherCurrentLiab,propertyPlantEquipment,retainedEarnings,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,esgRiskRating,esgCluster
BBNI.jk,0.3251989389920424,0.300602034461283,0.22949117341640707,0.33814948596832456,0.33814948596832456,0.3302752293577982,0.1977448319064523,0.3646050052127037,0.14168428909068292,0.4614232209737828,0.15826457157898352,0.6263629789835393,0.7649906248553913,0.2844783128219749,0.5986277873070326,0.83710462104444,0.6867005432072663,0.15230069840133753,0.526739233317558,0.553164422441711,0.5595084632675403,0.5717230766252747,0.5636909714471253,0.5035641547861507,0.2909836065573771,0.3333333333333333
BBRI.jk,0.9999999999999999,0.8173136807141375,0.9730010384215992,0.8305084745762712,0.8305084745762712,0.780835881753313,0.5698475673418251,1.0,0.4308993655927354,0.9872659176029963,0.5262019478364367,1.0,1.0,0.19349807180331213,0.9999999999999999,0.9192605513002876,0.9799167014876454,0.2434451483753362,1.0,1.0,0.8024265901420585,1.0,0.9999999999999999,0.9999999999999999,0.1967213114754098,0.3333333333333333
BBTN.jk,0.12212201591511937,0.24164417687357276,0.11298026998961577,0.29146985273687137,0.29146985273687137,0.28644240570846075,0.15431196491960744,0.09579867957364692,0.03831322303769125,0.4045692883895131,0.051145011959395276,0.23545320030451725,0.19580125172146273,0.1660144573289244,0.28987993138936535,0.2549307014728292,0.1902414039818571,0.031632156656620274,0.2511121628017038,0.2237863193737093,0.20776301555323795,0.23216641986301592,0.24696830454080287,0.12169042769857433,0.389344262295082,0.6666666666666667
BDMN.jk,0.15649867374005305,0.23749221507162133,0.14517133956386294,0.27507641011392053,0.27507641011392053,0.2734454638124363,0.14324493631238255,0.14088509088041015,0.055292946883940784,0.42876404494382026,0.0638482930681285,0.11454389666658714,0.1207982596540344,0.18812771035429382,0.36363636363636365,0.07673732171100774,0.0990632287357666,0.010887008840452479,0.3454803596781827,0.12435142033431255,0.12225583489340752,0.11360388175362865,0.11361139215919337,0.21970468431771895,0.36475409836065587,0.3333333333333333
BEST.jk,0.03689124668435013,0.1922565912393606,0.04421777963073728,0.24381772714642957,0.24381772714642957,0.24273700305810397,0.09630730897613281,0.0012205276413757005,0.0,0.43430711610486894,0.0,3.732702951712402e-05,0.006618704730052632,0.02907024037895798,0.23622641509433961,0.0041143123279506096,0.0009273409984625204,0.0,0.224609559867487,0.003339148203366742,0.007987148011634158,8.952681449076178e-05,0.001221955186279313,0.05532926001357773,0.24795081967213115,0.3333333333333333
BFIN.jk,0.06058355437665782,0.2125804442599128,0.06105919003115265,0.2665184773548208,0.2665184773548208,0.26355759429153924,0.11380246397995407,0.02959584778143759,0.008396566737156361,0.4449610486891386,0.012520170750409138,0.0001564226850368337,0.01171057452485249,0.011190095789873553,0.24377358490566037,0.0016779640513978832,0.003948726981254579,0.0027175584470775062,0.23767155702792242,0.00888264382481311,0.04549370680105977,0.00039036917309485323,0.006048895601831048,0.06487610319076714,0.33606557377049184,0.3333333333333333
BJBR.jk,0.11575596816976128,0.23956819597259704,0.09325025960539979,0.29397054737427064,0.29397054737427064,0.28873598369011216,0.1419920651493005,0.09427677539451566,0.03346187336733424,0.44089153558052435,0.0433055997436455,0.09818023151258157,0.08663022993442815,0.07629783076885412,0.2624356775300172,0.13339658395641998,0.07857826425316478,0.023803798990141862,0.23984855655466164,0.08706333319453878,0.0982879130417884,0.09505328055284018,0.09331794897068757,0.08774609640190087,0.5881147540983607,1.0
BJTM.jk,0.07649867374005305,0.22586672202615735,0.04552492211838006,0.28841344818005005,0.28841344818005005,0.28363914373088683,0.12758404677385676,0.039488224945790705,0.013496703570095782,0.4433273408239701,0.02098902482289795,0.06345289768574751,0.08021330727977038,0.1170493970584635,0.2555746140651801,0.061722617215973496,0.024875524031128214,0.005854493197716356,0.23350686228111692,0.05139106316415521,0.0869517337876442,0.059000590393046906,0.05316592209057253,0.07926001357773252,0.4856557377049181,0.6666666666666667
BMRI.jk,0.76657824933687,0.7010587502594976,0.6656282450674974,0.7138093914976382,0.7138093914976382,0.7145769622833843,0.6053455836291501,0.7070334455172347,0.28349297176265703,0.4415143071161049,0.4008857963583928,0.9636362996577654,0.4383109260728144,0.3681927707037306,0.8559176672384219,1.0,0.6907172029097371,0.2775544210649921,0.7775674396592522,0.956497231670264,1.0,0.9032142546045818,0.9710093668735631,0.8387644263408011,0.3688524590163935,0.3333333333333333
BNGA.jk,0.1522546419098143,0.25576084700020757,0.14080996884735203,0.3028619060850236,0.3028619060850236,0.29689092762487257,0.1555648360826895,0.14963603991041483,0.049011071028734914,0.45106569288389514,0.06155941358907746,0.18999857487672397,0.18163401988650404,0.049446023523762664,0.3560891938250429,0.198271439227417,0.2440646439949678,0.03817442699217723,0.34169427354472315,0.17406886985401093,0.16436164355165736,0.18619319080019228,0.17376695589654984,0.21079429735234212,0.34221311475409844,0.3333333333333333
